term,feature,unit,audience_log_odds,audience_se,audience_conf_low,audience_conf_high,audience_odds_ratio,curator_log_odds,curator_se,curator_conf_low,curator_conf_high,curator_odds_ratio,curator_minus_audience_log_odds,difference_se,difference_conf_low,difference_conf_high,difference_p_value,difference_q_value_bh
z_positive_sentiment,Positive sentiment,One standard deviation,0.0689101812723584,0.0131222189835341,0.0431911046673837,0.0946292578773331,1.07133997843302,0.13212695152703,0.0120428684389992,0.108523363116038,0.155730539938023,1.14125319390671,0.0632167702546719,0.0114434989492586,0.0407879244570032,0.0856456160523406,3.30892535249619e-08,1.10297511749873e-07
z_negative_sentiment,Negative sentiment,One standard deviation,-0.00802592721816144,0.0143707461657502,-0.0361920721339989,0.020140217697676,0.992006194542611,-0.0380679880745421,0.0148518748048643,-0.0671771277949738,-0.0089588483541103,0.962647490116973,-0.0300420608563806,0.0132453768262002,-0.0560025223973944,-0.00408159931536686,0.023322092562474,0.046644185124948
z_lexical_diversity,Lexical diversity,One standard deviation,-0.00399746385054064,0.0442911642448316,-0.0908065506037587,0.0828116229026774,0.996010515372318,-0.0600445111648984,0.0429514556655532,-0.144227817352951,0.0241387950231546,0.941722615480718,-0.0560470473143578,0.0374149149654786,-0.129378933131325,0.0172848385026089,0.13413668993204,0.191623842760058
z_reading_difficulty,Reading difficulty (SMOG),One standard deviation,0.0649909714280592,0.0146861406290976,0.0362066647231374,0.0937752781329809,1.06714938950566,0.0381952322914847,0.0145700047737545,0.00963854768034914,0.0667519169026202,1.03893404655457,-0.0267957391365745,0.0124503049464872,-0.0511978884282303,-0.00239358984491877,0.031380386348244,0.05230064391374
z_topical_similarity,Topical similarity,One standard deviation,-0.00326366307516973,0.0126927995287923,-0.0281410930145896,0.0216137668642501,0.996741656884072,-0.0519849424920034,0.013208708703841,-0.0778735358338126,-0.0260963491501942,0.949343161477514,-0.0487212794168337,0.0115290705154146,-0.0713178424022688,-0.0261247164313985,2.37934468558303e-05,5.94836171395756e-05
z_log_words,Comment length,One standard deviation,0.693163226353183,0.048105939632986,0.598877317230073,0.787449135476293,2.00003209184394,0.973480348310647,0.05110413785979,0.873318078644489,1.07364261797681,2.64714141992651,0.280317121957464,0.045429248290239,0.191277431463868,0.36935681245106,6.81128149160738e-10,3.40564074580369e-09
z_log_punctuation,Punctuation,One standard deviation,-0.160784522583957,0.0229734425654904,-0.205811642613218,-0.115757402554696,0.851475525087316,-0.14284231756644,0.0257839357798616,-0.193377903074663,-0.0923067320582181,0.866890751562315,0.0179422050175166,0.0223388292943763,-0.0258410958562492,0.0617255058912824,0.42186801038619,0.45517046698966
second_person,Second-person pronoun,Absent to present,0.10565423484817,0.0663952052748349,-0.0244779762366505,0.23578644593299,1.11143751370005,0.18430610429563,0.0601269063436856,0.0664595333601938,0.302152675231067,1.20238382162326,0.0786518694474608,0.0618832775108263,-0.0426371257190563,0.199940864613978,0.203738860250776,0.25467357531347
z_log_followers,Author followers,One standard deviation,0.115135262901079,0.0129402534306595,0.0897728322261653,0.140497693575992,1.12202519569114,0.106713592073809,0.0135173559525217,0.0802200612406579,0.133207122906959,1.11261554692988,-0.00842167082727019,0.0112766637987221,-0.0305235257385322,0.0136801840839918,0.45517046698966,0.45517046698966
z_log_posting_hours,Posting time after article,One standard deviation,-1.99927470382675,0.0471800306445559,-2.09174586467957,-1.90680354297392,0.135433477005128,-1.51319152177571,0.045760435132462,-1.60288032655221,-1.4235027169992,0.220206062831974,0.486083182051044,0.0401866587039949,0.407318778332211,0.564847585769877,1.1137681430484e-33,1.1137681430484e-32
