term,estimate,std_error_article_clustered,conf_low,conf_high,z,p_value
z_positive_sentiment,0.0689101812723584,0.0131222189835341,0.0431911046673837,0.0946292578773331,5.25141223133279,1.50937451585462e-07
z_negative_sentiment,-0.00802592721816144,0.0143707461657502,-0.0361920721339989,0.020140217697676,-0.558490639636349,0.576509394518125
z_lexical_diversity,-0.00399746385054064,0.0442911642448316,-0.0908065506037587,0.0828116229026774,-0.0902542057473034,0.9280852100891
z_reading_difficulty,0.0649909714280592,0.0146861406290976,0.0362066647231374,0.0937752781329809,4.42532678049484,9.62964006023013e-06
z_topical_similarity,-0.00326366307516973,0.0126927995287923,-0.0281410930145896,0.0216137668642501,-0.257127126901079,0.79708063713643
z_log_words,0.693163226353183,0.048105939632986,0.598877317230073,0.787449135476293,14.4090985778788,4.53591792499345e-47
z_log_punctuation,-0.160784522583957,0.0229734425654904,-0.205811642613218,-0.115757402554696,-6.99871262766165,2.58325094759353e-12
second_person,0.10565423484817,0.0663952052748349,-0.0244779762366505,0.23578644593299,1.59129314249164,0.111543619378616
z_log_followers,0.115135262901079,0.0129402534306595,0.0897728322261653,0.140497693575992,8.89745038750843,5.71442178815289e-19
z_log_posting_hours,-1.99927470382675,0.0471800306445559,-2.09174586467957,-1.90680354297392,-42.3754430955938,0
z_positive_sentiment:curator,0.0632167702546719,0.0114434989492586,0.0407879244570032,0.0856456160523406,5.52425185120219,3.30892535249619e-08
z_negative_sentiment:curator,-0.0300420608563806,0.0132453768262002,-0.0560025223973944,-0.00408159931536686,-2.26811673616983,0.023322092562474
z_lexical_diversity:curator,-0.0560470473143578,0.0374149149654786,-0.129378933131325,0.0172848385026089,-1.49798676185875,0.13413668993204
z_reading_difficulty:curator,-0.0267957391365745,0.0124503049464872,-0.0511978884282303,-0.00239358984491877,-2.15221548803388,0.031380386348244
z_topical_similarity:curator,-0.0487212794168337,0.0115290705154146,-0.0713178424022688,-0.0261247164313985,-4.22595033586554,2.37934468558303e-05
z_log_words:curator,0.280317121957464,0.045429248290239,0.191277431463868,0.36935681245106,6.17041074874429,6.81128149160738e-10
z_log_punctuation:curator,0.0179422050175166,0.0223388292943763,-0.0258410958562492,0.0617255058912824,0.803184660264784,0.42186801038619
second_person:curator,0.0786518694474608,0.0618832775108263,-0.0426371257190563,0.199940864613978,1.27097129646536,0.203738860250776
z_log_followers:curator,-0.00842167082727019,0.0112766637987221,-0.0305235257385322,0.0136801840839918,-0.746822905922278,0.45517046698966
z_log_posting_hours:curator,0.486083182051044,0.0401866587039949,0.407318778332211,0.564847585769877,12.0956356593718,1.1137681430484e-33
