term,feature,unit,reference_probability_mean,audience_probability_change,audience_conf_low,audience_conf_high,curator_probability_change,curator_conf_low,curator_conf_high,curator_minus_audience_change,difference_conf_low,difference_conf_high,audience_change_pp,curator_change_pp,curator_minus_audience_pp,difference_conf_low_pp,difference_conf_high_pp
z_positive_sentiment,Positive sentiment,One standard deviation,0.0478787341808614,0.00305616545581172,0.00185640431870471,0.00426350980309775,0.0060152596622016,0.00483696468353264,0.00716951381842134,0.00295909420638989,0.00189263187847956,0.00401975021992629,0.305616545581172,0.60152596622016,0.295909420638989,0.189263187847956,0.401975021992629
z_negative_sentiment,Negative sentiment,One standard deviation,0.0478787341808614,-0.000344811449736716,-0.00153746756207293,0.000895342279054637,-0.00161534672002861,-0.00280416434792148,-0.000388076262766117,-0.00127053527029189,-0.00238284616625388,-0.000170333344475296,-0.0344811449736716,-0.161534672002861,-0.127053527029189,-0.238284616625388,-0.0170333344475296
z_lexical_diversity,Lexical diversity,One standard deviation,0.0478787341808614,-0.000172025571309826,-0.00364257458980852,0.00375989306143818,-0.00252491855656276,-0.0057826790661766,0.00114042818814917,-0.00235289298525294,-0.00533848915378231,0.000714763817413273,-0.0172025571309826,-0.252491855656276,-0.235289298525294,-0.533848915378231,0.0714763817413273
z_reading_difficulty,Reading difficulty (SMOG),One standard deviation,0.0478787341808614,0.00287767865794171,0.00160448490196493,0.00418012272624923,0.00167257697026225,0.000445828685034305,0.00295139851511618,-0.00120510168767946,-0.00229054117232503,-8.44996862791386e-05,0.287767865794171,0.167257697026225,-0.120510168767946,-0.229054117232503,-0.00844996862791386
z_topical_similarity,Topical similarity,One standard deviation,0.0478787341808614,-0.00014048996666505,-0.00123650241717033,0.000941538588986651,-0.00219327510841817,-0.003276971074015,-0.0011078571340097,-0.00205278514175312,-0.00303858472003578,-0.00110121980790529,-0.014048996666505,-0.219327510841817,-0.205278514175312,-0.303858472003578,-0.110121980790529
z_log_words,Comment length,One standard deviation,0.0478787341808614,0.0398176484283398,0.0331556218784611,0.0469244864469623,0.0626928801341818,0.0539853410029231,0.0721538675906429,0.0228752317058419,0.015449982592831,0.0302257793042984,3.98176484283398,6.26928801341818,2.28752317058419,1.5449982592831,3.02257793042984
z_log_punctuation,Punctuation,One standard deviation,0.0478787341808614,-0.00648705459204275,-0.00819777862449914,-0.00473023268333798,-0.00580569325842836,-0.00767290815467575,-0.00386491501747917,0.000681361333614392,-0.000937917173198101,0.00234055623662637,-0.648705459204275,-0.580569325842836,0.0681361333614392,-0.09379171731981,0.234055623662637
second_person,Second-person pronoun,Absent to present,0.0478787341808614,0.00475758386180049,-0.0011037638260282,0.0113402288585246,0.00857432187842576,0.00284554237933362,0.0149268218094759,0.00381673801662526,-0.0021874674198127,0.00949406978270467,0.47575838618005,0.857432187842576,0.381673801662526,-0.21874674198127,0.949406978270467
z_log_followers,Author followers,One standard deviation,0.0478787341808614,0.00520491365446161,0.00402501602251369,0.00647066272261924,0.00480739534796844,0.00356814158967141,0.00606956686840675,-0.000397518306493174,-0.00142013676564288,0.000632370531378294,0.520491365446161,0.480739534796844,-0.0397518306493174,-0.142013676564288,0.0632370531378293
z_log_posting_hours,Posting time after article,One standard deviation,0.0478787341808614,-0.0406365477937719,-0.0412813160366313,-0.0399634794612807,-0.0362827770058579,-0.0372774057559436,-0.0352153111319378,0.00435377078791405,0.00358678054870879,0.00517996320212694,-4.06365477937719,-3.62827770058579,0.435377078791405,0.358678054870879,0.517996320212694
