term,feature,draws,estimate_median,estimate_min,estimate_max,estimate_sd,sign_changes_across_draws
z_positive_sentiment,Positive sentiment,10,0.0624408097835354,0.0592190948244655,0.0650215499543198,0.00161509867330086,FALSE
z_negative_sentiment,Negative sentiment,10,-0.0278268275037881,-0.0308164990644782,-0.0263258195283542,0.0014040930925632,FALSE
z_lexical_diversity,Lexical diversity,10,-0.0569386468850268,-0.063892180561637,-0.0514838402297541,0.00441840090674444,FALSE
z_reading_difficulty,Reading difficulty (SMOG),10,-0.0263501304116653,-0.0291608883878859,-0.024004639181218,0.00178043598473436,FALSE
z_topical_similarity,Topical similarity,10,-0.0477403980768596,-0.0500816379608006,-0.0446387102722546,0.00159544986190783,FALSE
z_log_words,Comment length,10,0.28547976704054,0.279303255350958,0.292542431700971,0.00445043503497012,FALSE
z_log_punctuation,Punctuation,10,0.0170313302168218,0.0118190873699554,0.0208807649050828,0.00307497193846859,FALSE
second_person,Second-person pronoun,10,0.0867586487631369,0.0786518694474608,0.104295981234641,0.00752797991229956,FALSE
z_log_followers,Author followers,10,-0.00704044330745096,-0.00842167082727019,-0.00463642490213342,0.001201431561431,FALSE
z_log_posting_hours,Posting time after article,10,0.486193444528134,0.483096517285261,0.493977491460191,0.00309722321692192,FALSE
