feature,n,spearman_forum_ndcg,spearman_forum_auc
lexdiv,10,0.9996659986639949,1.0
lexdiv,N,0.9547437636989876,0.9668510593883729
sentcomp,10,0.9980794923179694,1.0
sentcomp,N,0.8799290261976831,0.9011376683018476
sim,10,0.9998747494989982,1.0
sim,N,0.9791671015551614,0.9840100198309154
smog,10,1.0,1.0
smog,N,0.9723202170963366,0.9789583550777581
