n,sorting policy,lexdiv,sentcomp,sim,smog,pareto_efficient,dominated,w_lexdiv,w_sentcomp,w_sim,w_smog,balanced_score
10,pin-pred-lr_rh,0.2946108,-0.09648267,0.103552364,0.15357308,True,False,0.25,0.25,0.25,0.25,0.1138134
10,pin-pred-lr_rl,0.2946108,-0.09648267,0.103552364,0.15357308,True,False,0.25,0.25,0.25,0.25,0.1138134
10,pin-pred-lr_rt,0.12585686,-0.07638123,-0.09351153,0.048378322,False,True,0.25,0.25,0.25,0.25,0.0010856064
10,pin-pred-xgb_pinned_rh,0.3064912,-0.10359619,0.10657593,0.16546686,False,True,0.25,0.25,0.25,0.25,0.11873445
10,pin-pred-xgb_pinned_rl,0.30990773,-0.10246049,0.10449369,0.16691786,False,True,0.25,0.25,0.25,0.25,0.1197147
10,pin-pred-xgb_pinned_rt,0.12124991,-0.08358611,-0.10105614,0.049376152,False,True,0.25,0.25,0.25,0.25,-0.003504049
10,pin-pred-xgb_rh,0.30822954,-0.099104404,0.10871192,0.16736521,True,False,0.25,0.25,0.25,0.25,0.12130056
10,pin-pred-xgb_rl,0.31165245,-0.097931735,0.106645875,0.16883472,True,False,0.25,0.25,0.25,0.25,0.12230033
10,pin-pred-xgb_rt,0.13211535,-0.07452418,-0.08638898,0.054150496,True,False,0.25,0.25,0.25,0.25,0.0063381707
10,pos-abs_pinned_rh,0.2147413,-0.10643565,0.092350334,0.11427982,False,True,0.25,0.25,0.25,0.25,0.07873395
10,pos-abs_pinned_rl,0.202698,-0.10918806,0.06741042,0.107379235,False,True,0.25,0.25,0.25,0.25,0.0670749
10,pos-abs_pinned_rt,0.07199764,-0.0797958,-0.10593231,0.022303555,False,True,0.25,0.25,0.25,0.25,-0.022856727
10,pos-abs_rh,0.19874452,-0.11245431,0.08878418,0.109576344,False,True,0.25,0.25,0.25,0.25,0.071162686
10,pos-abs_rl,0.18488431,-0.11585907,0.061700292,0.10188659,False,True,0.25,0.25,0.25,0.25,0.058153033
10,pos-abs_rt,0.052834682,-0.079829,-0.115038864,0.011678065,False,True,0.25,0.25,0.25,0.25,-0.03258878
10,pos-rel_pinned_rh,0.21131611,-0.10089795,0.09482803,0.11281992,False,True,0.25,0.25,0.25,0.25,0.07951652
10,pos-rel_pinned_rl,0.1984923,-0.105101906,0.06729267,0.10523576,False,True,0.25,0.25,0.25,0.25,0.066479705
10,pos-rel_pinned_rt,0.070819125,-0.07687867,-0.099420354,0.02060034,False,True,0.25,0.25,0.25,0.25,-0.021219889
10,pos-rel_rh,0.19230096,-0.1050203,0.09123408,0.10705159,False,True,0.25,0.25,0.25,0.25,0.07139158
10,pos-rel_rl,0.1773943,-0.11044754,0.060731247,0.09868808,False,True,0.25,0.25,0.25,0.25,0.056591522
10,pos-rel_rt,0.05010898,-0.07584723,-0.108818084,0.009763719,False,True,0.25,0.25,0.25,0.25,-0.031198155
10,pred-nb_pinned_rh,0.39193672,-0.1815051,0.14142093,0.22635178,True,False,0.25,0.25,0.25,0.25,0.14455108
10,pred-nb_pinned_rl,0.39229795,-0.18157363,0.14135383,0.22645919,True,False,0.25,0.25,0.25,0.25,0.14463434
10,pred-nb_pinned_rt,0.15182382,-0.11226681,-0.10875902,0.07076076,False,True,0.25,0.25,0.25,0.25,0.00038968585
10,pred-nb_rh,0.40709552,-0.19217363,0.14820863,0.23646429,True,False,0.25,0.25,0.25,0.25,0.14989871
10,pred-nb_rl,0.40744936,-0.19224235,0.14814787,0.23657238,True,False,0.25,0.25,0.25,0.25,0.14998181
10,pred-nb_rt,0.1768596,-0.13509676,-0.102963224,0.08668647,False,True,0.25,0.25,0.25,0.25,0.0063715223
10,pred-xgb_pinned_rh,0.28925383,-0.15922743,0.114096485,0.15924338,True,False,0.25,0.25,0.25,0.25,0.10084157
10,pred-xgb_pinned_rl,0.29056332,-0.16003564,0.11264182,0.15943089,True,False,0.25,0.25,0.25,0.25,0.100650094
10,pred-xgb_pinned_rt,0.10200842,-0.10594822,-0.12050752,0.03870549,False,True,0.25,0.25,0.25,0.25,-0.021435458
10,pred-xgb_rh,0.28384867,-0.16170037,0.113893725,0.1595664,True,False,0.25,0.25,0.25,0.25,0.09890211
10,pred-xgb_rl,0.28520635,-0.162543,0.11234718,0.15976292,True,False,0.25,0.25,0.25,0.25,0.09869336
10,pred-xgb_rt,0.08959699,-0.111612156,-0.12633453,0.03178488,False,True,0.25,0.25,0.25,0.25,-0.029141206
10,random_pinned_rh,0.16596219,-0.08691948,0.061106574,0.07217061,True,False,0.25,0.25,0.25,0.25,0.05307997
10,random_pinned_rl,0.09770877,-0.08521718,-0.07904317,0.028881127,False,True,0.25,0.25,0.25,0.25,-0.009417614
10,random_pinned_rt,0.052328024,-0.0812763,-0.099670015,0.0062286793,False,True,0.25,0.25,0.25,0.25,-0.030597402
10,random_rh,0.07146779,-0.08190233,0.028895114,0.021506168,False,True,0.25,0.25,0.25,0.25,0.009991684
10,random_rl,-0.03101812,-0.07634454,-0.18973456,-0.04828604,False,True,0.25,0.25,0.25,0.25,-0.086345814
10,random_rt,-0.011602611,-0.07484263,-0.11305501,-0.027814738,False,True,0.25,0.25,0.25,0.25,-0.056828752
10,rev-chron_pinned_rh,0.1703648,-0.09156267,0.0711452,0.076050185,True,False,0.25,0.25,0.25,0.25,0.056499377
10,rev-chron_pinned_rl,0.105021685,-0.09696911,-0.117388554,0.017954169,False,True,0.25,0.25,0.25,0.25,-0.022845453
10,rev-chron_pinned_rt,0.08307954,-0.08141082,-0.048249345,0.021762114,False,True,0.25,0.25,0.25,0.25,-0.0062046275
10,rev-chron_rh,0.09472694,-0.08498684,0.039431464,0.03509439,False,True,0.25,0.25,0.25,0.25,0.021066489
10,rev-chron_rl,-0.011450809,-0.09534763,-0.26219845,-0.056892496,False,True,0.25,0.25,0.25,0.25,-0.10647234
10,rev-chron_rt,0.059821077,-0.08152675,-0.016531836,0.010605522,False,True,0.25,0.25,0.25,0.25,-0.0069079967
N,chron_pinned_rh,0.10756361,-0.0048312554,0.24292277,0.081828706,False,True,0.25,0.25,0.25,0.25,0.10687096
N,chron_pinned_rl,-0.039608937,0.01772884,0.07384464,-0.014277606,False,True,0.25,0.25,0.25,0.25,0.009421734
N,chron_pinned_rt,-0.033692572,0.007299901,-0.037529893,-0.01993573,False,True,0.25,0.25,0.25,0.25,-0.020964574
N,chron_rh,0.102386884,-0.004599688,0.24101515,0.07888106,False,True,0.25,0.25,0.25,0.25,0.10442085
N,chron_rl,-0.048741717,0.018038454,0.06839881,-0.019541662,False,True,0.25,0.25,0.25,0.25,0.004538472
N,chron_rt,-0.049809244,0.007797433,-0.037751213,-0.028926374,False,True,0.25,0.25,0.25,0.25,-0.02717235
N,least-neg-abs_pinned_rh,0.11191599,-0.0019716015,0.24499008,0.08349779,True,False,0.25,0.25,0.25,0.25,0.10960806
N,least-neg-abs_pinned_rl,-0.037386853,0.032595348,-0.027062163,-0.030484537,False,True,0.25,0.25,0.25,0.25,-0.015584551
N,least-neg-abs_pinned_rt,-0.009987055,-0.026855681,-0.077624485,-0.008296899,False,True,0.25,0.25,0.25,0.25,-0.03069103
N,least-neg-abs_rh,0.107441306,-0.001348896,0.24366567,0.08094702,True,False,0.25,0.25,0.25,0.25,0.107676275
N,least-neg-abs_rl,-0.05052699,0.03355496,-0.03731039,-0.03850579,True,False,0.25,0.25,0.25,0.25,-0.023197053
N,least-neg-abs_rt,-0.027664797,0.033455234,0.09029733,-0.013199067,True,False,0.25,0.25,0.25,0.25,0.020722173
N,neg-abs_pinned_rh,0.13169636,-0.018724425,0.24415188,0.0969783,False,True,0.25,0.25,0.25,0.25,0.113525525
N,neg-abs_pinned_rl,0.1224628,-0.038939387,0.11117625,0.084639505,False,True,0.25,0.25,0.25,0.25,0.0698348
N,neg-abs_pinned_rt,0.051177394,-0.032046586,-0.060830783,0.028827872,False,True,0.25,0.25,0.25,0.25,-0.003218026
N,neg-abs_rh,0.1297914,-0.019954363,0.24295418,0.09593668,False,True,0.25,0.25,0.25,0.25,0.11218198
N,neg-abs_rl,0.11908697,-0.040496647,0.10789862,0.0826169,False,True,0.25,0.25,0.25,0.25,0.06727646
N,neg-abs_rt,0.04350132,-0.03602608,-0.067893304,0.024396542,False,True,0.25,0.25,0.25,0.25,-0.00900538
N,pin-pred-lr_pinned_rh,0.15787089,-0.009106905,0.2583301,0.114773005,True,False,0.25,0.25,0.25,0.25,0.13046677
N,pin-pred-lr_pinned_rl,0.2405273,-0.017289773,0.2726072,0.17062205,True,False,0.25,0.25,0.25,0.25,0.1666167
N,pin-pred-lr_pinned_rt,0.11152281,-0.0034995489,-0.037148125,0.070451714,False,True,0.25,0.25,0.25,0.25,0.03533171
N,pin-pred-lr_rh,0.15782711,-0.009027198,0.2583155,0.11478492,True,False,0.25,0.25,0.25,0.25,0.13047507
N,pin-pred-lr_rl,0.24046944,-0.017215589,0.27258053,0.17063059,True,False,0.25,0.25,0.25,0.25,0.16661625
N,pin-pred-lr_rt,0.11179226,-0.0031697133,-0.037095413,0.0705815,False,True,0.25,0.25,0.25,0.25,0.03552716
N,pin-pred-xgb_pinned_rh,0.1679072,-0.018864334,0.25615308,0.12089127,False,True,0.25,0.25,0.25,0.25,0.1315218
N,pin-pred-xgb_pinned_rl,0.36772826,-0.05341819,0.34397838,0.2547001,True,False,0.25,0.25,0.25,0.25,0.22824714
N,pin-pred-xgb_pinned_rt,0.14344794,-0.032651093,-0.052261345,0.09162983,False,True,0.25,0.25,0.25,0.25,0.03754133
N,pin-pred-xgb_rh,0.1678979,-0.01871579,0.25617397,0.12093657,False,True,0.25,0.25,0.25,0.25,0.13157317
N,pin-pred-xgb_rl,0.36771986,-0.053271268,0.3440006,0.2547478,True,False,0.25,0.25,0.25,0.25,0.22829925
N,pin-pred-xgb_rt,0.14379679,-0.032165226,-0.051233925,0.0918784,False,True,0.25,0.25,0.25,0.25,0.03806901
N,pos-abs_pinned_rh,0.1375499,-0.014092249,0.25399035,0.10265034,False,True,0.25,0.25,0.25,0.25,0.12002459
N,pos-abs_pinned_rl,0.16165899,-0.014680259,0.21503729,0.12935743,True,False,0.25,0.25,0.25,0.25,0.12284336
N,pos-abs_pinned_rt,0.057603795,-0.008876229,-0.021426791,0.038652953,False,True,0.25,0.25,0.25,0.25,0.016488431
N,pos-abs_rh,0.13682605,-0.014313749,0.25373924,0.10238471,False,True,0.25,0.25,0.25,0.25,0.119659066
N,pos-abs_rl,0.1606287,-0.0149860345,0.21442203,0.12893996,False,True,0.25,0.25,0.25,0.25,0.12225116
N,pos-abs_rt,0.05455518,-0.008848944,-0.022945859,0.03704023,False,True,0.25,0.25,0.25,0.25,0.0149501525
N,pos-rel_pinned_rh,0.13287346,-0.010556228,0.25390407,0.09960969,False,True,0.25,0.25,0.25,0.25,0.11895774
N,pos-rel_pinned_rl,0.0993974,0.007951062,0.14244322,0.08537981,True,False,0.25,0.25,0.25,0.25,0.08379287
N,pos-rel_pinned_rt,0.04424682,0.008886446,0.034952693,0.032367464,True,False,0.25,0.25,0.25,0.25,0.030113354
N,pos-rel_rh,0.13185927,-0.010665787,0.25365922,0.09920034,False,True,0.25,0.25,0.25,0.25,0.118513264
N,pos-rel_rl,0.09710186,0.00788088,0.1407978,0.084257595,False,True,0.25,0.25,0.25,0.25,0.08250953
N,pos-rel_rt,0.039604466,0.009647276,0.036485363,0.029886609,True,False,0.25,0.25,0.25,0.25,0.02890593
N,pred-nb_pinned_rh,0.17689008,-0.02767282,0.26976264,0.13396163,False,True,0.25,0.25,0.25,0.25,0.13823538
N,pred-nb_pinned_rl,0.24303502,-0.028493341,0.34673357,0.20859413,True,False,0.25,0.25,0.25,0.25,0.19246735
