feature,n,sorting policy,FORUM,nDCG,AUC
sentcomp,10,pin-pred-lr_pinned_rh,-0.097384915,0.3749853,0.45130754
sentcomp,10,pin-pred-lr_pinned_rl,-0.09731224,0.37501737,0.4513439
sentcomp,10,pin-pred-lr_pinned_rt,-0.0777418,0.38340643,0.46112907
sentcomp,10,pin-pred-lr_rh,-0.09648267,0.37560448,0.45175865
sentcomp,10,pin-pred-lr_rl,-0.09648267,0.37560448,0.45175865
sentcomp,10,pin-pred-lr_rt,-0.07638123,0.38420123,0.4618094
sentcomp,10,pin-pred-xgb_pinned_rh,-0.10359619,0.37168938,0.4482019
sentcomp,10,pin-pred-xgb_pinned_rl,-0.10246049,0.3722184,0.44876978
sentcomp,10,pin-pred-xgb_pinned_rt,-0.08358611,0.38067085,0.45820695
sentcomp,10,pin-pred-xgb_rh,-0.099104404,0.37395406,0.4504478
sentcomp,10,pin-pred-xgb_rl,-0.097931735,0.3745028,0.45103413
sentcomp,10,pin-pred-xgb_rt,-0.07452418,0.38506716,0.46273792
sentcomp,10,pos-abs_pinned_rh,-0.10643565,0.37036332,0.44678214
sentcomp,10,pos-abs_pinned_rl,-0.10918806,0.36882403,0.44540596
sentcomp,10,pos-abs_pinned_rt,-0.0797958,0.3825083,0.4601021
sentcomp,10,pos-abs_rh,-0.11245431,0.36746693,0.44377282
sentcomp,10,pos-abs_rl,-0.11585907,0.3656075,0.44207048
sentcomp,10,pos-abs_rt,-0.079829,0.38222653,0.46008548
sentcomp,10,pos-rel_pinned_rh,-0.10089795,0.37296113,0.44955102
sentcomp,10,pos-rel_pinned_rl,-0.105101906,0.37073535,0.44744903
sentcomp,10,pos-rel_pinned_rt,-0.07687867,0.3839717,0.4615607
sentcomp,10,pos-rel_rh,-0.1050203,0.37094355,0.44748983
sentcomp,10,pos-rel_rl,-0.11044754,0.36811146,0.44477624
sentcomp,10,pos-rel_rt,-0.07584723,0.3842396,0.46207637
sentcomp,10,pred-nb_pinned_rh,-0.1815051,0.3350989,0.40924746
sentcomp,10,pred-nb_pinned_rl,-0.18157363,0.33506462,0.40921322
sentcomp,10,pred-nb_pinned_rt,-0.11226681,0.36700732,0.4438666
sentcomp,10,pred-nb_rh,-0.19217363,0.3299778,0.4039132
sentcomp,10,pred-nb_rl,-0.19224235,0.32994425,0.40387884
sentcomp,10,pred-nb_rt,-0.13509676,0.35614228,0.4324516
sentcomp,10,pred-xgb_pinned_rh,-0.15922743,0.34579384,0.4203863
sentcomp,10,pred-xgb_pinned_rl,-0.16003564,0.34539554,0.4199822
sentcomp,10,pred-xgb_pinned_rt,-0.10594822,0.37011018,0.44702587
sentcomp,10,pred-xgb_rh,-0.16170037,0.3445446,0.41914982
sentcomp,10,pred-xgb_rl,-0.162543,0.34412903,0.41872853
sentcomp,10,pred-xgb_rt,-0.111612156,0.36729696,0.44419393
sentcomp,10,random_pinned_rh,-0.08691948,0.37909535,0.45654026
sentcomp,10,random_pinned_rl,-0.08521718,0.37934753,0.45739138
sentcomp,10,random_pinned_rt,-0.0812763,0.38140744,0.45936182
sentcomp,10,random_rh,-0.08190233,0.38081428,0.45904884
sentcomp,10,random_rl,-0.07634454,0.3825538,0.46182775
sentcomp,10,random_rt,-0.07484263,0.3843322,0.4625787
sentcomp,10,rev-chron_pinned_rh,-0.09156267,0.37677038,0.4542187
sentcomp,10,rev-chron_pinned_rl,-0.09696911,0.37415528,0.45151544
sentcomp,10,rev-chron_pinned_rt,-0.08141082,0.38137943,0.45929462
sentcomp,10,rev-chron_rh,-0.08498684,0.3793031,0.45750657
sentcomp,10,rev-chron_rl,-0.09534763,0.37444934,0.4523262
sentcomp,10,rev-chron_rt,-0.08152675,0.38088152,0.45923665
sim,10,chron_pinned_rh,0.046641804,0.44205314,0.5233209
sim,10,chron_pinned_rl,0.0043693245,0.42179164,0.5021847
sim,10,chron_pinned_rt,-0.11354838,0.36611024,0.44322583
sim,10,chron_rh,-0.0016663965,0.4192485,0.4991668
sim,10,chron_rl,-0.07578902,0.38424003,0.4621055
sim,10,chron_rt,-0.1491511,0.35017157,0.42542446
sim,10,least-neg-abs_pinned_rh,0.06617383,0.45137793,0.53308696
sim,10,least-neg-abs_pinned_rl,0.015501613,0.42709878,0.5077508
sim,10,least-neg-abs_pinned_rt,-0.2206568,0.31725317,0.38967162
sim,10,least-neg-abs_rh,0.043545254,0.4406672,0.5217726
sim,10,least-neg-abs_rl,-0.026341636,0.40735418,0.4868292
sim,10,least-neg-abs_rt,-0.13740446,0.35584214,0.43129775
sim,10,neg-abs_pinned_rh,0.05540008,0.44549754,0.52770007
sim,10,neg-abs_pinned_rl,0.005657475,0.42152682,0.5028287
sim,10,neg-abs_pinned_rt,-0.15503202,0.34701377,0.422484
sim,10,neg-abs_rh,0.029043796,0.43265426,0.5145219
sim,10,neg-abs_rl,-0.039832838,0.39958715,0.48008358
sim,10,neg-abs_rt,-0.20435143,0.32460752,0.3978243
sim,10,pin-pred-lr_pinned_rh,0.10346813,0.469188,0.55173403
sim,10,pin-pred-lr_pinned_rl,0.10344958,0.46917903,0.5517248
sim,10,pin-pred-lr_pinned_rt,-0.10742894,0.36877465,0.44628552
sim,10,pin-pred-lr_rh,0.103552364,0.46931887,0.5517762
sim,10,pin-pred-lr_rl,0.103552364,0.46931887,0.5517762
sim,10,pin-pred-lr_rt,-0.09351153,0.37527865,0.4532442
sim,10,pin-pred-xgb_pinned_rh,0.10657593,0.47077203,0.553288
sim,10,pin-pred-xgb_pinned_rl,0.10449369,0.46967506,0.55224687
sim,10,pin-pred-xgb_pinned_rt,-0.10105614,0.3717761,0.44947195
sim,10,pin-pred-xgb_rh,0.10871192,0.4718812,0.554356
sim,10,pin-pred-xgb_rl,0.106645875,0.47078833,0.5533229
sim,10,pin-pred-xgb_rt,-0.08638898,0.37863815,0.4568055
sim,10,pos-abs_pinned_rh,0.092350334,0.46389437,0.5461752
sim,10,pos-abs_pinned_rl,0.06741042,0.4515253,0.53370523
sim,10,pos-abs_pinned_rt,-0.10593231,0.3695505,0.44703385
sim,10,pos-abs_rh,0.08878418,0.46217674,0.5443921
sim,10,pos-abs_rl,0.061700292,0.44873643,0.5308501
sim,10,pos-abs_rt,-0.115038864,0.36528346,0.44248056
sim,10,pos-rel_pinned_rh,0.09482803,0.46513173,0.547414
sim,10,pos-rel_pinned_rl,0.06729267,0.4515202,0.5336463
sim,10,pos-rel_pinned_rt,-0.099420354,0.37263104,0.45028985
sim,10,pos-rel_rh,0.09123408,0.46341762,0.54561704
sim,10,pos-rel_rl,0.060731247,0.44834137,0.53036565
sim,10,pos-rel_rt,-0.108818084,0.36822245,0.44559094
sim,10,pred-nb_pinned_rh,0.14142093,0.48824987,0.5707105
sim,10,pred-nb_pinned_rl,0.14135383,0.48821935,0.57067686
sim,10,pred-nb_pinned_rt,-0.10875902,0.36801073,0.4456205
sim,10,pred-nb_rh,0.14820863,0.4916055,0.5741043
sim,10,pred-nb_rl,0.14814787,0.49157888,0.574074
sim,10,pred-nb_rt,-0.102963224,0.37073395,0.4485184
sim,10,pred-xgb_pinned_rh,0.114096485,0.4746525,0.55704826
sim,10,pred-xgb_pinned_rl,0.11264182,0.47390604,0.5563209
sim,10,pred-xgb_pinned_rt,-0.12050752,0.36290833,0.43974623
