n,sorting policy,lexdiv,sentcomp,sim,smog,pareto_efficient,dominated
10,rev-chron_rl,-0.011450809,-0.09534763,-0.26219845,-0.056892496,False,True
10,rev-chron_rt,0.059821077,-0.08152675,-0.016531836,0.010605522,False,True
N,chron_pinned_rh,0.10756361,-0.0048312554,0.24292277,0.081828706,False,True
N,chron_pinned_rl,-0.039608937,0.01772884,0.07384464,-0.014277606,False,True
N,chron_pinned_rt,-0.033692572,0.007299901,-0.037529893,-0.01993573,False,True
N,chron_rh,0.102386884,-0.004599688,0.24101515,0.07888106,False,True
N,chron_rl,-0.048741717,0.018038454,0.06839881,-0.019541662,False,True
N,chron_rt,-0.049809244,0.007797433,-0.037751213,-0.028926374,False,True
N,least-neg-abs_pinned_rh,0.11191599,-0.0019716015,0.24499008,0.08349779,True,False
N,least-neg-abs_pinned_rl,-0.037386853,0.032595348,-0.027062163,-0.030484537,False,True
N,least-neg-abs_pinned_rt,-0.009987055,-0.026855681,-0.077624485,-0.008296899,False,True
N,least-neg-abs_rh,0.107441306,-0.001348896,0.24366567,0.08094702,True,False
N,least-neg-abs_rl,-0.05052699,0.03355496,-0.03731039,-0.03850579,True,False
N,least-neg-abs_rt,-0.027664797,0.033455234,0.09029733,-0.013199067,True,False
N,neg-abs_pinned_rh,0.13169636,-0.018724425,0.24415188,0.0969783,False,True
N,neg-abs_pinned_rl,0.1224628,-0.038939387,0.11117625,0.084639505,False,True
N,neg-abs_pinned_rt,0.051177394,-0.032046586,-0.060830783,0.028827872,False,True
N,neg-abs_rh,0.1297914,-0.019954363,0.24295418,0.09593668,False,True
N,neg-abs_rl,0.11908697,-0.040496647,0.10789862,0.0826169,False,True
N,neg-abs_rt,0.04350132,-0.03602608,-0.067893304,0.024396542,False,True
N,pin-pred-lr_pinned_rh,0.15787089,-0.009106905,0.2583301,0.114773005,True,False
N,pin-pred-lr_pinned_rl,0.2405273,-0.017289773,0.2726072,0.17062205,True,False
N,pin-pred-lr_pinned_rt,0.11152281,-0.0034995489,-0.037148125,0.070451714,False,True
N,pin-pred-lr_rh,0.15782711,-0.009027198,0.2583155,0.11478492,True,False
N,pin-pred-lr_rl,0.24046944,-0.017215589,0.27258053,0.17063059,True,False
N,pin-pred-lr_rt,0.11179226,-0.0031697133,-0.037095413,0.0705815,False,True
N,pin-pred-xgb_pinned_rh,0.1679072,-0.018864334,0.25615308,0.12089127,False,True
N,pin-pred-xgb_pinned_rl,0.36772826,-0.05341819,0.34397838,0.2547001,True,False
N,pin-pred-xgb_pinned_rt,0.14344794,-0.032651093,-0.052261345,0.09162983,False,True
N,pin-pred-xgb_rh,0.1678979,-0.01871579,0.25617397,0.12093657,False,True
N,pin-pred-xgb_rl,0.36771986,-0.053271268,0.3440006,0.2547478,True,False
N,pin-pred-xgb_rt,0.14379679,-0.032165226,-0.051233925,0.0918784,False,True
N,pos-abs_pinned_rh,0.1375499,-0.014092249,0.25399035,0.10265034,False,True
N,pos-abs_pinned_rl,0.16165899,-0.014680259,0.21503729,0.12935743,True,False
N,pos-abs_pinned_rt,0.057603795,-0.008876229,-0.021426791,0.038652953,False,True
N,pos-abs_rh,0.13682605,-0.014313749,0.25373924,0.10238471,False,True
N,pos-abs_rl,0.1606287,-0.0149860345,0.21442203,0.12893996,False,True
N,pos-abs_rt,0.05455518,-0.008848944,-0.022945859,0.03704023,False,True
N,pos-rel_pinned_rh,0.13287346,-0.010556228,0.25390407,0.09960969,False,True
N,pos-rel_pinned_rl,0.0993974,0.007951062,0.14244322,0.08537981,True,False
N,pos-rel_pinned_rt,0.04424682,0.008886446,0.034952693,0.032367464,True,False
N,pos-rel_rh,0.13185927,-0.010665787,0.25365922,0.09920034,False,True
N,pos-rel_rl,0.09710186,0.00788088,0.1407978,0.084257595,False,True
N,pos-rel_rt,0.039604466,0.009647276,0.036485363,0.029886609,True,False
N,pred-nb_pinned_rh,0.17689008,-0.02767282,0.26976264,0.13396163,False,True
N,pred-nb_pinned_rl,0.24303502,-0.028493341,0.34673357,0.20859413,True,False
N,pred-nb_pinned_rt,0.12664919,-0.042508766,-0.08655629,0.09334726,False,True
N,pred-nb_rh,0.17730571,-0.027956553,0.26993656,0.13426381,False,True
N,pred-nb_rl,0.24345037,-0.028777083,0.34690776,0.2088965,True,False
N,pred-nb_rt,0.12755065,-0.043490823,-0.08703616,0.093959495,False,True
N,pred-xgb_pinned_rh,0.16100399,-0.024415694,0.26503494,0.12062521,False,True
N,pred-xgb_pinned_rl,0.23943831,-0.022534331,0.32639092,0.19612779,True,False
N,pred-xgb_pinned_rt,0.08199976,-0.0225547,-0.04971135,0.058217227,False,True
N,pred-xgb_rh,0.16069816,-0.024505729,0.2649468,0.120563045,False,True
N,pred-xgb_rl,0.23865323,-0.022616886,0.3256782,0.195727,False,True
N,pred-xgb_rt,0.07946539,-0.02237047,-0.050265446,0.056604914,False,True
N,random_pinned_rh,0.118599676,-0.007902436,0.24436165,0.08790565,True,False
N,random_pinned_rl,0.011633712,0.0011097115,0.008380098,0.008407882,False,True
N,random_pinned_rt,0.01989686,-0.00272108,0.0041180365,0.013936205,False,True
N,random_rh,0.11342621,-0.008443533,0.24340495,0.084183164,False,True
N,random_rl,-0.002087055,-0.00033729232,-0.0023618212,-0.0017868511,False,True
N,random_rt,0.007703097,-0.0021581957,0.01027418,0.0060838023,False,True
N,rev-chron_pinned_rh,0.1251797,-0.009859736,0.24544466,0.09166429,False,True
N,rev-chron_pinned_rl,0.06461246,-0.0174754,-0.051164635,0.029663406,False,True
N,rev-chron_pinned_rt,0.07401276,-0.009609786,0.041254528,0.04526657,False,True
N,rev-chron_rh,0.12025228,-0.009917735,0.24346247,0.08873935,False,True
N,rev-chron_rl,0.048855156,-0.018069807,-0.068287745,0.019609364,False,True
N,rev-chron_rt,0.062375788,-0.00955128,0.055556852,0.038284905,False,True
